propellant,density_case,rho_kg_m3,dp_frac_of_pc,dp_psia,cd,target_mdot_kg_s,sizing_model,required_total_area_mm2,example_n_orifices,example_orifice_diameter_mm,mdot_if_SPI_kg_s,mdot_if_Dyer_k1_kg_s,mdot_if_HEM_approx_kg_s,hem_factor_used,dyer_k
N2O,cool_900,900.0,0.1,15.0,0.65,0.08237177577853759,Dyer_NHNE_k1_design,13.760047263855963,8,1.4798579456220744,0.12203226041264827,0.08237177577853758,0.04271129114442689,0.35,1.0
N2O,cool_900,900.0,0.1,15.0,0.65,0.08237177577853759,HEM_lower_mdot_for_fixed_A,26.537234008865074,8,2.0551233462975476,0.23534793079582167,0.1588598532871796,0.08237177577853758,0.35,1.0
N2O,cool_900,900.0,0.15,22.5,0.65,0.08237177577853759,SPI_upper_mdot_for_fixed_A,7.583646292431055,8,1.0986240458414005,0.08237177577853759,0.05560094865051287,0.028830121522488154,0.35,1.0
N2O,cool_900,900.0,0.15,22.5,0.65,0.08237177577853759,Dyer_NHNE_k1_design,11.235031544342304,8,1.337202604722055,0.12203226041264825,0.08237177577853758,0.042711291144426886,0.35,1.0
N2O,cool_900,900.0,0.15,22.5,0.65,0.08237177577853759,HEM_lower_mdot_for_fixed_A,21.667560835517303,8,1.8570135733798332,0.2353479307958217,0.15885985328717964,0.08237177577853759,0.35,1.0
N2O,cool_900,900.0,0.2,30.0,0.65,0.08237177577853759,SPI_upper_mdot_for_fixed_A,6.5676303425609674,8,1.0223848753864153,0.08237177577853759,0.05560094865051287,0.028830121522488154,0.35,1.0
N2O,cool_900,900.0,0.2,30.0,0.65,0.08237177577853759,Dyer_NHNE_k1_design,9.72982272971995,8,1.2444072415583287,0.12203226041264828,0.08237177577853759,0.04271129114442689,0.35,1.0
N2O,cool_900,900.0,0.2,30.0,0.65,0.08237177577853759,HEM_lower_mdot_for_fixed_A,18.764658121602764,8,1.7281458548058264,0.23534793079582172,0.15885985328717966,0.0823717757785376,0.35,1.0
N2O,cool_900,900.0,0.25,37.5,0.65,0.08237177577853759,SPI_upper_mdot_for_fixed_A,5.8742671588226205,8,0.9669119170684597,0.08237177577853759,0.05560094865051287,0.028830121522488154,0.35,1.0
N2O,cool_900,900.0,0.25,37.5,0.65,0.08237177577853759,Dyer_NHNE_k1_design,8.702618013070548,8,1.1768877068865775,0.12203226041264827,0.08237177577853758,0.04271129114442689,0.35,1.0
N2O,cool_900,900.0,0.25,37.5,0.65,0.08237177577853759,HEM_lower_mdot_for_fixed_A,16.78362045377892,8,1.6343794413162307,0.2353479307958217,0.15885985328717964,0.08237177577853759,0.35,1.0
N2O,cool_900,900.0,0.3,45.0,0.65,0.08237177577853759,SPI_upper_mdot_for_fixed_A,5.36244771949822,8,0.9238290218595663,0.08237177577853759,0.05560094865051287,0.028830121522488154,0.35,1.0
N2O,cool_900,900.0,0.3,45.0,0.65,0.08237177577853759,Dyer_NHNE_k1_design,7.944366991849213,8,1.124448876778706,0.12203226041264827,0.08237177577853758,0.04271129114442689,0.35,1.0
N2O,cool_900,900.0,0.3,45.0,0.65,0.08237177577853759,HEM_lower_mdot_for_fixed_A,15.321279198566344,8,1.5615560569325926,0.23534793079582172,0.15885985328717966,0.0823717757785376,0.35,1.0
