mr,eps,pe_psia,isp_amb_s,isp_vac_s,mode,cstar_m_s,t_chamber_k,chamber_mw,chamber_gamma,cf_cea,cf_amb,cf_mode,case,ox,fuel,pc_psia,pamb_psia,chemistry
3.0,2.6262628743182983,14.699507537328456,204.49341067276663,234.2867973303747,Pexit = 14.7035,1513.6112938782594,2656.0401925109995,22.555662180621777,1.217874214116278,1.3249080059383254,1.3249057319949569,Pexit = 14.7035,N2O_Ethanol,N2O,C2H5OH,200.0,14.7,equilibrium
3.05,2.6305462921635296,14.699494607828331,205.16150006033368,235.0982799236223,Pexit = 14.7035,1518.41965224045,2683.1707523721693,22.681645134414804,1.214616621217483,1.3250273266172572,1.3250249924043187,Pexit = 14.7035,N2O_Ethanol,N2O,C2H5OH,200.0,14.7,equilibrium
3.0999999999999996,2.6349012932909077,14.699476778906286,205.80240157537494,235.8795963963976,Pexit = 14.7035,1523.0201854879358,2709.3036407090026,22.80502772990342,1.2113392249207393,1.3251516797181628,1.3251492624748238,Pexit = 14.7035,N2O_Ethanol,N2O,C2H5OH,200.0,14.7,equilibrium
3.1499999999999995,2.6393367929269727,14.699453458366017,206.41715023259755,236.6319915461826,Pexit = 14.7034,1527.418993643589,2734.442113769208,22.925812228019147,1.2080481906627727,1.3252824259413638,1.325279900131335,Pexit = 14.7034,N2O_Ethanol,N2O,C2H5OH,200.0,14.7,equilibrium
3.1999999999999993,2.6438620422487578,14.699435534388682,207.00668088308467,237.3566046384803,Pexit = 14.7034,1531.6216467484962,2758.588831597878,23.04400091315172,1.2047497923535602,1.3254206771994022,1.3254180676362384,Pexit = 14.7034,N2O_Ethanol,N2O,C2H5OH,200.0,14.7,equilibrium
3.249999999999999,2.6484876473502887,14.699411248159377,207.57188080108804,238.05452180284956,Pexit = 14.7034,1535.6325912524067,2781.7466343452247,23.159596178843973,1.201451437717051,1.3255683070479878,1.3255655841049891,Pexit = 14.7034,N2O_Ethanol,N2O,C2H5OH,200.0,14.7,equilibrium
3.299999999999999,2.6532248985474287,14.699391888537534,208.1135335275857,238.72672043960262,Pexit = 14.7034,1539.4555725049597,2803.9189951266626,23.27260076683286,1.1981619383208622,1.325727011246896,1.3257241975272573,Pexit = 14.7034,N2O_Ethanol,N2O,C2H5OH,200.0,14.7,equilibrium
3.3499999999999988,2.658085769709571,14.699369037432511,208.63238028916086,239.37412997031558,Pexit = 14.7034,1543.093609112445,2825.109912417046,23.383018493258476,1.1948908011865476,1.325898921193815,1.3258960002953268,Pexit = 14.7034,N2O_Ethanol,N2O,C2H5OH,200.0,14.7,equilibrium
3.3999999999999986,2.6630833217307104,14.699351478633044,209.12907376874327,239.99758769998954,Pexit = 14.7033,1546.5488720301364,2845.3245398795343,23.490854646248202,1.1916485881516237,1.3260862419457813,1.3260832381403016,Pexit = 14.7033,N2O_Ethanol,N2O,C2H5OH,200.0,14.7,equilibrium
3.4499999999999984,2.668230879477357,14.699326176030398,209.60423610701898,240.59789460285225,Pexit = 14.7033,1549.8230601034502,2864.5694842799753,23.59611662175098,1.188446653291728,1.3262914798054684,1.3262883569037864,Pexit = 14.7033,N2O_Ethanol,N2O,C2H5OH,200.0,14.7,equilibrium
