mr,eps,pe_psia,isp_amb_s,isp_vac_s,mode,cstar_m_s,t_chamber_k,chamber_mw,chamber_gamma,cf_cea,cf_amb,cf_mode,case,ox,fuel,pc_psia,pamb_psia,chemistry
2.5,2.3391580519187842,14.699881837353207,190.12935597904695,218.94804991359234,Pexit = 14.7039,1438.319808542885,2202.77458623379,20.18924312584307,1.2668066609987354,1.2963251113627678,1.2963245196395827,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
2.55,2.3429512185006693,14.699881988731688,191.2407836144367,220.27262615911982,Pexit = 14.7039,1446.6120801763586,2241.8680968061085,20.34205604837483,1.263902605823004,1.296428725323841,1.2964281343760673,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
2.5999999999999996,2.3467148275036056,14.699875911103183,192.30330186392527,221.54111491948368,Pexit = 14.7039,1454.5387699374942,2279.936172422776,20.492484695181314,1.2609716490737215,1.2965273060386329,1.2965266846864698,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
2.6499999999999995,2.3504508968481863,14.699873755940848,193.31966276687098,222.75667231941736,Pexit = 14.7039,1462.1207484661454,2316.9929752904213,20.640535397816347,1.2580137064574977,1.2966209089887872,1.296620276902953,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
2.6999999999999993,2.3541644545685267,14.699875704871506,194.2924085713003,223.9222412743632,Pexit = 14.7039,1469.3766543110899,2353.0518252910697,20.786214681858393,1.2550293706393967,1.2967101945732193,1.296709572319571,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
2.749999999999999,2.3578605749607258,14.699862567473078,195.22390644893687,225.04056690777708,Pexit = 14.7039,1476.3237725075098,2388.1257620124,20.92952990285378,1.2520207664370768,1.2967959225436305,1.2967952345656024,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
2.799999999999999,2.3615450785668943,14.699862346514333,196.11628148816368,226.11413135071967,Pexit = 14.7039,1482.9777025480842,2422.227334393897,21.070488873053176,1.2489903157498454,1.2968784681067738,1.2968777790996997,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
2.8499999999999988,2.3652237603938455,14.699853144190573,196.97155695454856,227.145292930812,Pexit = 14.7038,1489.3528020441372,2455.3686424512343,21.20910034412768,1.245940580566685,1.2969588507639696,1.2969581157521042,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
2.8999999999999986,2.368902559646313,14.699844256783766,197.79156735290272,228.13619991889416,Pexit = 14.7038,1495.4621308713265,2487.561516876516,21.345373575402178,1.2428745124343357,1.2970378000523268,1.2970370206138244,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
2.9499999999999984,2.3725869303729428,14.69984014204349,198.57801647756793,229.0888505548399,Pexit = 14.7038,1501.3179617270707,2518.817666092317,21.4793199490258,1.2397951192889862,1.2971158788452695,1.2971150788703603,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
2.9999999999999982,2.3762826564871786,14.699828843246426,199.33250658060285,230.00512315022365,Pexit = 14.7038,1506.9313273551593,2549.1483565655412,21.610950337019055,1.236705429601138,1.2971941260473208,1.297193269562218,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.049999999999998,2.379995243758487,14.69982514410012,200.05649045456033,230.88673041000277,Pexit = 14.7038,1512.3125278965229,2578.564385378681,21.74027675682797,1.2336079358801637,1.2972730889351143,1.297272213970837,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.099999999999998,2.383730371983587,14.699814904321732,200.751356383732,231.7353049032707,Pexit = 14.7038,1517.4708823229728,2607.0767149930903,21.867312063154422,1.2305060386672424,1.2973538710876842,1.2973529448859906,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.1499999999999977,2.3874931165288764,14.699802609063092,201.41837192366378,232.55234253876137,Pexit = 14.7038,1522.4152202836342,2634.6956613437897,21.9920692893982,1.22740241930834,1.297437107485579,1.2974361197369635,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.1999999999999975,2.391289028553135,14.699790010103824,202.05871786119275,233.33924637384337,Pexit = 14.7038,1527.1536871454061,2661.4310529387585,22.114561882987385,1.2242995524728335,1.297523462454376,1.297522411610282,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.2499999999999973,2.3951234165220727,14.699781362228293,202.6734901973439,234.09731741903835,Pexit = 14.7038,1531.6936628958515,2687.292371850029,22.234803406349428,1.2212000238113536,1.2976136855523823,1.2976125913574876,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.299999999999997,2.399001716741482,14.699761607062554,203.2637347060691,234.8277991161583,Pexit = 14.7038,1536.0420194532226,2712.2886162917603,22.35280756999103,1.2181063615094176,1.297708723590081,1.2977075303978705,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.349999999999997,2.4029293892099775,14.69975460132357,203.8303728247492,235.53179953729676,Pexit = 14.7037,1540.2050141553625,2736.4285356730293,22.468587557188755,1.2150214973868108,1.2978090465898067,1.2978078181809363,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.399999999999997,2.4069120561170365,14.6997374971247,204.37432171049986,236.21041414057586,Pexit = 14.7037,1544.1883396462733,2759.7202242870976,22.58215670611534,1.2119480960658762,1.2979158016195569,1.297914487374914,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.4499999999999966,2.4109555819997355,14.699718779870244,204.89639352386558,236.86462811264678,Pexit = 14.7037,1547.9972267546675,2782.171855698338,22.693528223117692,1.2088897606478557,1.298029693008819,1.29802828477718,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.4999999999999964,2.4150655385981725,14.699704069787993,205.3973450318456,237.49536178423764,Pexit = 14.7037,1551.6365907467568,2803.791084598096,22.802714963226226,1.2058499605691029,1.2981513491416674,1.298149866913386,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.5499999999999963,2.41924827436285,14.699696816889015,205.87788030082038,238.10347723057276,Pexit = 14.7037,1555.1105400191402,2824.5855626801163,22.90972974324815,1.2028327602298923,1.2982817478419069,1.2982802288990738,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.599999999999996,2.423510205503018,14.699682096620444,206.33867648655263,238.68980385224384,Pexit = 14.7037,1558.4228261320552,2844.5629106345127,23.01458547958585,1.1998425899854248,1.298422082147719,1.2984204889867137,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.649999999999996,2.427857918637142,14.69966576321867,206.78033386463622,239.25508626244715,Pexit = 14.7037,1561.576680468279,2863.7311651335904,23.11729515809145,1.196884681384788,1.2985733858845527,1.2985717103156278,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.6999999999999957,2.4322986404505738,14.699648920535855,207.2034113776135,239.8000280743209,Pexit = 14.7036,1564.5749142818984,2882.0985411636093,23.217872364758236,1.1939644335076738,1.2987368030110207,1.2987350423603135,Pexit = 14.7036,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.7499999999999956,2.4368394579926056,14.699646048129832,207.60840695313536,240.32525923941483,Pexit = 14.7036,1567.4198016121736,2899.6738732840704,23.316331363154454,1.191087752300659,1.2989134708575856,1.298911695098193,Pexit = 14.7036,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.7999999999999954,2.441487977222151,14.699630955434438,207.9958343548512,240.83142905349848,Pexit = 14.7036,1570.1134375978497,2916.4667305997323,23.412687427636666,1.1882608680938147,1.2991049755440358,1.2991031232484032,Pexit = 14.7036,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.849999999999995,2.4462518825462487,14.699621231280743,208.3661079221903,241.31907646930335,Pexit = 14.7036,1572.6573356118333,2932.4875840321674,23.506957141619292,1.1854902182744833,1.2993125415012763,1.299310639492734,Pexit = 14.7036,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.899999999999995,2.4511389107397856,14.699614794563415,208.71963539186783,241.78872921924233,Pexit = 14.7036,1575.0527532649853,2947.747954617066,23.599158689593825,1.1827823058056446,1.299537661425936,1.2995357261032,Pexit = 14.7036,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.949999999999995,2.4561568964036344,14.699610531479493,209.05678960541556,242.24087592214255,Pexit = 14.7036,1577.3006884878305,2962.260534879832,23.689312127019786,1.1801435414035457,1.2997818201508198,1.2997798623349044,Pexit = 14.7036,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
3.9999999999999947,2.4613135176293173,14.699605901283398,209.3779158702776,242.67597139163064,Pexit = 14.7036,1579.401951671709,2976.0392765966767,23.77743961304096,1.1775800787014927,1.3000464944825052,1.3000445122299658,Pexit = 14.7036,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.0499999999999945,2.4666162856306304,14.699615384970182,209.68330726401155,243.09441191992522,Pexit = 14.7036,1581.3571781093476,2989.0994400382583,23.86356559294745,1.175097652408367,1.3003328984955889,1.3003309627532378,Pexit = 14.7036,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.099999999999994,2.4720719615612583,14.699617987548427,209.97328363474577,243.49661373641368,Pexit = 14.7036,1583.167182505646,3001.457601973477,23.94771692025027,1.1727014292166524,1.3006424482251742,1.3006405243274037,Pexit = 14.7036,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.149999999999994,2.477686894570467,14.699628404415032,210.24809061257258,243.88291040213187,Pexit = 14.7036,1584.8326710766296,3013.1316220826147,24.029922911910003,1.170395880053073,1.3009760157289076,1.300974143051567,Pexit = 14.7036,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.199999999999994,2.4834667349261794,14.699641799444906,210.50798117025883,244.25363750488074,Pexit = 14.7036,1586.354578097282,3024.140569774715,24.11021533431213,1.1681846803452498,1.301334438190204,1.3013326317633642,Pexit = 14.7036,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.249999999999994,2.4894159942201766,14.699663564673418,210.7531762929687,244.60908687722127,Pexit = 14.7037,1587.7340462603274,3034.5046155087493,24.188628321630205,1.166070642555014,1.301718142136206,1.3017164442712719,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.299999999999994,2.495537825722087,14.699685846413804,210.98390051440313,244.94954491437414,Pexit = 14.7037,1588.9726995453761,3044.244892406608,24.265198231886515,1.1640556826096908,1.3021272593298627,1.3021256727757635,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.349999999999993,2.5018342476178894,14.699717014477248,211.20034072283875,245.27524941605634,Pexit = 14.7037,1590.0724083780817,3053.3833349920073,24.339963454237466,1.1621408190868245,1.302561417161898,1.3025599869991014,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.399999999999993,2.5083055878795357,14.699743189913796,211.4027052597371,245.58644683080072,Pexit = 14.7037,1591.035555077306,3061.9425031141873,24.41296415143973,1.1603262034874475,1.3030200805850825,1.3030187817987713,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.449999999999993,2.514950737700425,14.69977889253751,211.59114926168462,245.8833199406851,Pexit = 14.7038,1591.8649780136625,3069.94539740962,24.484242007003445,1.158611174017134,1.3035018812905825,1.3035007623242536,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.499999999999993,2.5217665967324048,14.699813735034665,211.76585802902213,246.1660643261965,Pexit = 14.7038,1592.5639966907843,3077.415274724361,24.553839920485945,1.1569943307852764,1.3040053799744469,1.3040044367578592,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.549999999999993,2.5287482552709437,14.6998562543026,211.9269814342576,246.43482499379607,Pexit = 14.7039,1593.1363924992909,3084.3754687692176,24.621801708621447,1.1554736240866683,1.3045284546876286,1.304527726406741,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.5999999999999925,2.535888841744884,14.69988823244281,212.07470516596115,246.68976500894178,Pexit = 14.7039,1593.586375666007,3090.84922143901,24.6881718057598,1.1540464508228696,1.3050689960945547,1.3050684295923098,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.649999999999992,2.543179447567286,14.699926797971937,212.2091577191112,246.93097062301234,Pexit = 14.7039,1593.9185371031626,3096.859528628462,24.75299497493457,1.1527097536897781,1.3056240572483317,1.3056236861594992,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.699999999999992,2.550609054342306,14.699952367003501,212.33052205230848,247.1585608746698,Pexit = 14.7039,1594.13778932184,3102.429003208946,24.816316036511978,1.151460118716887,1.3061909518931059,1.3061907104519181,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.749999999999992,2.558164461793097,14.699979326791457,212.4389287962021,247.37257855285185,Pexit = 14.704,1594.249297943825,3107.579756695245,24.87817961955179,1.1502938676972474,1.30676629212415,1.3067661874902934,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.799999999999992,2.565829982024197,14.69999031712855,212.53455956630975,247.5730880973563,Pexit = 14.704,1594.2584143664442,3112.333300139153,24.938629939256742,1.1492071430183368,1.3073470098396571,1.3073469609929877,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.849999999999992,2.5735880330470695,14.699999598699346,212.61754956706727,247.76008496317712,Pexit = 14.704,1594.170603764975,3116.7104639707354,24.997710602312786,1.1481959833065818,1.307929492340291,1.307929490606479,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.8999999999999915,2.5814183523206364,14.700000860556727,212.68807076760191,247.9335677160126,Pexit = 14.704,1593.9914190467027,3120.7313358792276,25.05546444062176,1.1472563890794412,1.308510377815188,1.3085103824818929,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.949999999999991,2.5892981662648826,14.699987822542274,212.7463029422219,248.09350665104233,Pexit = 14.704,1593.7262764532961,3124.415215377119,25.111933372847552,1.146384378234265,1.3090864546930256,1.3090863932707433,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
4.999999999999991,2.597201696634708,14.699963097870572,212.79242271166768,248.23983057750974,Pexit = 14.704,1593.380649131258,3127.780583403786,25.167158292410978,1.1455760316846266,1.3096543887494998,1.309654202211676,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.049999999999991,2.605101099369438,14.699934745655275,212.82660689713103,248.37243844984155,Pexit = 14.7039,1592.9598526195227,3130.845085175367,25.22117898001073,1.1448275297943122,1.310210936142221,1.31021060653967,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.099999999999991,2.61296564859012,14.699890100547925,212.84908050348224,248.49123647797404,Pexit = 14.7039,1592.4690489044312,3133.6255244472413,25.274034038390383,1.1441351804738755,1.3107533670723348,1.3107528128029253,Pexit = 14.7039,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.149999999999991,2.620761712092128,14.699841837930315,212.86004688498983,248.59606745432274,Pexit = 14.7038,1591.9132158363782,3136.1378673979675,25.325760846903933,1.1434954399187753,1.3112788277530345,1.3112780317985282,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.19999999999999,2.628453980719968,14.6997879852152,212.8597497482816,248.68678916477313,Pexit = 14.7038,1591.2971240286533,3138.3972544446347,25.37639553339232,1.1429049270010592,1.3117849434251991,1.3117838793423864,Pexit = 14.7038,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.24999999999999,2.63600487602026,14.699724610728522,212.8484597312518,248.76325273316291,Pexit = 14.7037,1590.625324065437,3140.41801843922,25.425972960928295,1.1423604323064631,1.312269682416212,1.3122683047264283,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.29999999999999,2.6433757559982856,14.69965537896424,212.82645934763642,248.82530349631907,Pexit = 14.7037,1589.9021192823484,3142.213707855387,25.474526727132755,1.1418589227461757,1.3127312387262542,1.3127295211556689,Pexit = 14.7037,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.34999999999999,2.6505276138828484,14.699580403456856,212.79406323060897,248.8728114483543,Pexit = 14.7036,1589.1315930876137,3143.797113744416,25.522089173940582,1.1413975425888894,1.3131681913872317,1.3131661090279916,Pexit = 14.7036,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.39999999999999,2.657422207255523,14.69950549620393,212.75160409903864,248.9056719260003,Pexit = 14.7035,1588.3175790892374,3145.180299406022,25.568691405886316,1.1409736116621958,1.3135793978518875,1.3135769553154815,Pexit = 14.7035,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.4499999999999895,2.664023289344353,14.699419447691144,212.69947087580164,248.9238606374646,Pexit = 14.7034,1587.4636697959,3146.3746318799035,25.614363315205747,1.1405846213731374,1.3139643377769574,1.3139614832131503,Pexit = 14.7034,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.499999999999989,2.670297881244242,14.699321219105213,212.63806162324929,248.92740456746074,Pexit = 14.7033,1586.5732505207964,3147.3907714868988,25.659133715793395,1.1402281917898245,1.3143226552140574,1.3143193352653797,Pexit = 14.7033,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.549999999999989,2.6762175669189667,14.699214277258845,212.5677932183091,248.9164083041515,Pexit = 14.7032,1585.6494654561593,3148.2388746492957,25.703029975340737,1.1399022121525877,1.3146542845601796,1.3146504626489446,Pexit = 14.7032,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.599999999999989,2.681759693772623,14.69999742756152,212.48758510665857,248.8895530145612,Pexit = 14.704,1584.695181514504,3148.9283756340456,25.746078639087326,1.1396046152830515,1.3149457859408153,1.3149457737850019,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.649999999999989,2.6869077595512922,14.699997964117799,212.40072392132265,248.84996981666913,Pexit = 14.704,1583.7131547546821,3149.4681843377557,25.788305089108988,1.139333512989651,1.315223293124745,1.3152232836223252,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.699999999999989,2.691652321215305,14.700002424942932,212.30635392662856,248.79673941968144,Pexit = 14.704,1582.7059090080286,3149.8666773840546,25.829733677293447,1.139087152399981,1.3154755617751546,1.315475573668293,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.7499999999999885,2.695990442396234,14.700003367842264,212.20496544200282,248.73037341412723,Pexit = 14.704,1581.6757689714036,3150.1317569572143,25.870387551170577,1.1388639489973502,1.3157036977662095,1.3157037140877847,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.799999999999988,2.699925466569748,14.700003541203706,212.09702969868155,248.65144731374784,Pexit = 14.704,1580.624931608682,3150.270767830551,25.91028956744161,1.1386623113898,1.3159087451364255,1.315908762201832,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.849999999999988,2.7034663025960826,14.700002242278389,211.9830191776977,248.56060875017306,Pexit = 14.704,1579.5553757188304,3150.290696074211,25.94946101242435,1.1384808860121822,1.3160919537586424,1.3160919646291216,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.899999999999988,2.7066263465322846,14.70000257458164,211.86338765474954,248.4585450774191,Pexit = 14.704,1578.4689700628771,3150.1980825964697,25.987922518060966,1.1383183800113317,1.3162545319666545,1.316254544353539,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.949999999999988,2.7094225054340293,14.699996028142586,211.73859414207104,248.34599255096228,Pexit = 14.704,1577.3674186897504,3149.9990765982966,26.025693901884196,1.1381735955893146,1.3163979138221393,1.3163978955752476,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
5.999999999999988,2.7118741785307003,14.700001252705054,211.60903104818325,248.223651409905,Pexit = 14.704,1576.2523014550145,3149.6994608240834,26.06279418778318,1.138045423808727,1.3165230978004836,1.316523103946904,Pexit = 14.704,N2O_IPA,N2O,Isopropanol,175.0,14.7,equilibrium
