case,ox,fuel,chemistry,pc_psia,pamb_psia,mr,eps,pe_psia,isp_amb_s,isp_vac_s,mode,cstar_m_s,t_chamber_k,chamber_mw,chamber_gamma,cf_cea,cf_amb,thrust_n,mdot_kg_s,throat_area_m2,throat_diameter_mm,exit_diameter_mm
N2O_IPA,N2O,Isopropanol,equilibrium,175.0,14.7,5.149999999999991,2.620761712092128,14.699841837930315,212.86004688498983,248.59606745432274,Pexit = 14.7038,1591.9132158363782,3136.1378673979675,25.325760846903933,1.1434954399187753,1.3112788277530345,1.3112780317985282,,,,,
N2O_IPA,N2O,Isopropanol,equilibrium,200.0,14.7,5.24999999999999,2.876690713021181,14.699921796229953,217.7213845638757,252.05501687212458,Pexit = 14.7039,1592.4260064462826,3152.8463430712786,25.452224066547604,1.1433104153653009,1.3407937109750103,1.3407933461358374,,,,,
N2O_IPA,N2O,Isopropanol,equilibrium,250.0,14.7,5.39999999999999,3.367161893876066,14.699967318387559,225.43074498246463,257.5974845680647,Pexit = 14.704,1593.25664818957,3178.848008456518,25.64037706317126,1.1433812274399462,1.387546258659876,1.3875461190884195,,,,,
N2O_IPA,N2O,Isopropanol,equilibrium,300.0,14.7,5.499999999999989,3.831714179434397,14.69998236077185,231.3792029183208,261.89968024409575,Pexit = 14.704,1594.1242027626058,3198.6090436792756,25.768756385540744,1.1437582691568158,1.423384412341462,1.4233843460594209,,,,,
GOX_Ethanol,GOX,C2H5OH,equilibrium,100.0,14.7,1.5000000000000007,1.8654714459986463,14.700003586926993,206.64104556183355,254.78968948284313,Pexit = 14.704,1721.8611986500566,3122.4942871874714,21.807038381429116,1.1258881854831713,1.1768970142461272,1.1768970418522846,,,,,
GOX_Ethanol,GOX,C2H5OH,equilibrium,125.0,14.7,1.5000000000000007,2.1560314140531767,14.700004783875809,217.3936090021302,262.0061309766226,Pexit = 14.704,1725.497716632797,3145.7573340074714,21.855315420166693,1.1273220141190758,1.2355274275057115,1.2355274641890566,,,,,
GOX_Ethanol,GOX,C2H5OH,equilibrium,150.0,14.7,1.5500000000000007,2.4549231175527395,14.700000462945304,225.61660995542724,267.9750445390327,Pexit = 14.704,1726.6167536622045,3187.0560721049565,22.143083243292203,1.1257838755955392,1.2814307444683595,1.281430742636258,,,,,
GOX_Ethanol,GOX,C2H5OH,equilibrium,175.0,14.7,1.5500000000000007,2.727768900544738,14.699999105126363,232.29336217428917,272.696702820747,Pexit = 14.704,1729.2207391892546,3203.8363732309404,22.178608560948394,1.1267102977784513,1.317365803738269,1.3173657998647306,,,,,
GOX_Ethanol,GOX,C2H5OH,equilibrium,200.0,14.7,1.5500000000000007,2.9912028463125413,14.6999991161986,237.83502674851658,276.6520683220531,Pexit = 14.704,1731.447183981305,3218.33906201888,22.209377777379657,1.127521905201235,1.347058903857568,1.3470589034901381,,,,,
GOX_Ethanol,GOX,C2H5OH,equilibrium,250.0,14.7,1.6000000000000008,3.535278745815024,14.699998293418622,246.66657935257385,283.3938688406562,Pexit = 14.704,1732.6382988037192,3262.391804409576,22.502412391846818,1.1265675361986478,1.3961189561514635,1.3961189484341276,,,,,
GOX_Ethanol,GOX,C2H5OH,equilibrium,300.0,14.7,1.6000000000000008,4.0252565071655875,14.699997719514968,253.55225446913957,288.4630618051424,Pexit = 14.704,1735.7623807465131,3282.96395607107,22.546943735360124,1.1276070700822305,1.4325085623085845,1.4325085572179732,,,,,
GOX_IPA,GOX,Isopropanol,equilibrium,100.0,14.7,1.6000000000000008,1.8531552176294295,14.700001206978783,210.75471513130464,259.5600404707268,Pexit = 14.704,1756.9447346935326,3168.5520566036726,21.17342793160316,1.1313685709748802,1.1763571990831543,1.1763572109928317,,,,,
GOX_IPA,GOX,Isopropanol,equilibrium,125.0,14.7,1.6500000000000008,2.1540904007122026,14.700004641498849,221.653670773156,267.1001813818972,Pexit = 14.704,1759.3381357867916,3216.7351491161567,21.46351111732102,1.1299721267950191,1.2355081622556257,1.2355081981106237,,,,,
GOX_IPA,GOX,Isopropanol,equilibrium,150.0,14.7,1.6500000000000008,2.431820620451597,14.699996091148117,230.05616667326956,272.8877216630461,Pexit = 14.704,1762.4883272387647,3237.142366837881,21.50440568601968,1.1312023509041387,1.2800521342483029,1.2800521099675466,,,,,
GOX_IPA,GOX,Isopropanol,equilibrium,175.0,14.7,1.6500000000000008,2.698525145465428,14.700001023109838,236.79525773538563,277.59493134770804,Pexit = 14.704,1765.106660239453,3254.339108025755,21.538952068768246,1.1322579463418123,1.3155945489856071,1.315594554147726,,,,,
GOX_IPA,GOX,Isopropanol,equilibrium,200.0,14.7,1.7000000000000008,2.9848711965282075,14.700001557570756,242.43543304398054,281.9308195787629,Pexit = 14.704,1765.4420007813935,3291.3747934385196,21.806798105922063,1.1305406384006518,1.3466745619968814,1.3466745723530198,,,,,
GOX_IPA,GOX,Isopropanol,equilibrium,250.0,14.7,1.7000000000000008,3.486766486069408,14.700002624876229,251.40704573118356,288.3980487598811,Pexit = 14.704,1769.3589151243964,3317.2960531824406,21.859880934702392,1.1319812235165927,1.3934183429083762,1.3934183523313575,,,,,
GOX_IPA,GOX,Isopropanol,equilibrium,300.0,14.7,1.7500000000000009,4.009876565448858,14.699998000385978,258.390370603843,293.85373095238253,Pexit = 14.704,1769.998185006439,3358.2687202617517,22.135203844742396,1.1308825015794943,1.4316060504467063,1.4316060463618352,,,,,
