eps,pe_psia,isp_amb_s,isp_vac_s,mode
2.85,11.17366063129805,203.86855024301266,248.67295403601815,OverExpanded (Pe=11.1767)
2.9,10.888029064048142,203.6722702840347,249.2627162488473,OverExpanded (Pe=10.891)
2.95,10.614851375386415,203.4610591548703,249.83754729149,OverExpanded (Pe=10.6177)
3.0,10.353369282650506,203.23555933424672,250.39808964267357,OverExpanded (Pe=10.3562)
3.05,10.102880779648277,202.99638052570103,250.94495300593496,OverExpanded (Pe=10.1056)
3.1,9.86273985579351,202.7440889147348,251.47870356677586,OverExpanded (Pe=9.86542)
3.15,9.632348560086596,202.47922225707748,251.99987908092567,OverExpanded (Pe=9.63497)
3.2,9.411153730104854,202.20228621246338,252.50898520811867,OverExpanded (Pe=9.41371)
3.25,9.1986409564114,201.91375879865953,253.00649996612194,OverExpanded (Pe=9.20114)
3.3,8.994334110738702,201.61409115648772,253.49287449575723,OverExpanded (Pe=8.99678)
3.35,8.797790018172387,201.3037094787039,253.96853498978052,OverExpanded (Pe=8.80018)
3.4,8.608596130013972,200.98301761676467,254.4338852996484,OverExpanded (Pe=8.61094)
3.45,8.42636794309842,200.6523980273287,254.88930788201955,OverExpanded (Pe=8.42866)
3.5,8.250746676429152,200.31221332748518,255.33516535398314,OverExpanded (Pe=8.25299)
3.55,8.081397175427227,199.96280889187094,255.771803090176,OverExpanded (Pe=8.08359)
3.6,7.918006826702267,199.60450708124986,256.19954345136205,OverExpanded (Pe=7.92016)
3.65,7.760280535005604,199.23762349602964,256.61870203794894,OverExpanded (Pe=7.76239)
3.7,7.607944249203272,198.86245163743166,257.0295723511581,OverExpanded (Pe=7.61001)
3.75,7.460740077825899,198.47927267426195,257.43243555979546,OverExpanded (Pe=7.46277)
3.8,7.318425895103518,198.08835442162479,257.82755947896544,OverExpanded (Pe=7.32041)
3.85,7.180774170115963,197.68995261203762,258.2151998411854,OverExpanded (Pe=7.18273)
3.9,7.047571149922606,197.28430905898927,258.59559845994414,OverExpanded (Pe=7.04949)
3.95,6.9186148628346125,196.87165810246103,258.96898967522304,OverExpanded (Pe=6.9205)
4.0,6.79371577766771,196.45222091596366,259.33559466053276,OverExpanded (Pe=6.79556)
4.05,6.672694934655696,196.02620957865324,259.69562549502945,OverExpanded (Pe=6.67451)
4.1,6.555383461130458,195.59382687763605,260.04928496581937,OverExpanded (Pe=6.55717)
4.15,6.4416218816948065,195.15526682822014,260.3967670882106,OverExpanded (Pe=6.44337)
4.2,6.331259483845445,194.71071515871938,260.7382575905169,OverExpanded (Pe=6.33298)
4.25,6.224153733877712,194.2603497629308,261.07393436653547,OverExpanded (Pe=6.22585)
4.3,6.120169738539477,193.94994051578618,261.40396789787917,"Separated (Psep=6.15845, epsSep=4.54516)"
4.35,6.019179748267249,193.7746517586055,261.72852164885893,"Separated (Psep=6.15845, epsSep=4.54516)"
4.4,5.921062698352573,193.59925452265526,262.04775243570396,"Separated (Psep=6.15845, epsSep=4.54516)"
4.45,5.825703784671357,193.4237476417084,262.3618107723754,"Separated (Psep=6.15845, epsSep=4.54516)"
4.5,5.732994071038622,193.24813007819594,262.6708411944014,"Separated (Psep=6.15845, epsSep=4.54516)"
4.55,5.642830125418908,193.07240091523968,262.97498256271257,"Separated (Psep=6.15845, epsSep=4.54516)"
4.6,5.555113682626429,192.89655934923726,263.2743683486008,"Separated (Psep=6.15845, epsSep=4.54516)"
4.65,5.469751331245792,192.72060468285557,263.56912690132174,"Separated (Psep=6.15845, epsSep=4.54516)"
4.7,5.386654222807369,192.54453631828378,263.8593816997589,"Separated (Psep=6.15845, epsSep=4.54516)"
