thrust_N,burn_s,gox_burn_kg,gox_stored_kg_req,gox_vessel,gox_vessel_capacity_kg,gox_vessel_price_usd,gox_vessel_tare_kg,n2o_burn_kg,n2o_bottle_kg_req,n2o_vessel,n2o_vessel_capacity_kg,n2o_vessel_price_usd,n2o_vessel_tare_kg
200.0,30.0,1.6483560376037338,2.1153124221940267,80 cf steel,3.0151728639999997,143.5,,2.4711532733561294,3.088941591695162,10 lb bottle,4.5359,314.99,6.304901
200.0,60.0,3.2967120752074677,4.230624844388053,125 cf steel,4.7112076,194.5,26.30822,4.942306546712259,6.177883183390324,15 lb bottle,6.80385,374.99,8.0512225
400.0,30.0,3.2967120752074677,4.230624844388053,125 cf steel,4.7112076,194.5,26.30822,4.942306546712259,6.177883183390324,15 lb bottle,6.80385,374.99,8.0512225
400.0,60.0,6.593424150414935,8.461249688776107,250 cf steel,9.4224152,274.8,48.987719999999996,9.884613093424518,12.355766366780648,2x 15 lb bottle,13.6077,749.98,16.102445
