propellant,model,dp_frac_of_pc,dp_psia,cd,mdot_kg_s,total_area_mm2,n_orifices,orifice_diameter_mm,L_over_d_target,orifice_length_mm
IPA,SPI,0.15,22.5,0.7,0.01615132858402701,1.4775193974481047,4,0.6857908071970995,3.0,2.0573724215912987
IPA,SPI,0.15,22.5,0.7,0.01615132858402701,1.4775193974481047,6,0.5599458493080971,3.0,1.6798375479242913
IPA,SPI,0.15,22.5,0.7,0.01615132858402701,1.4775193974481047,8,0.4849273302444652,3.0,1.4547819907333956
IPA,SPI,0.15,22.5,0.7,0.01615132858402701,1.4775193974481047,10,0.4337321898296455,3.0,1.3011965694889365
IPA,SPI,0.15,22.5,0.7,0.01615132858402701,1.4775193974481047,12,0.39594150714301607,3.0,1.1878245214290482
IPA,SPI,0.2,30.0,0.7,0.01615132858402701,1.2795693327743354,4,0.6382002575051718,3.0,1.9146007725155156
IPA,SPI,0.2,30.0,0.7,0.01615132858402701,1.2795693327743354,6,0.5210883282001672,3.0,1.5632649846005013
IPA,SPI,0.2,30.0,0.7,0.01615132858402701,1.2795693327743354,8,0.45127572983690784,3.0,1.3538271895107234
IPA,SPI,0.2,30.0,0.7,0.01615132858402701,1.2795693327743354,10,0.4036332834044624,3.0,1.2108998502133872
IPA,SPI,0.2,30.0,0.7,0.01615132858402701,1.2795693327743354,12,0.3684650904674995,3.0,1.1053952714024984
IPA,SPI,0.25,37.5,0.7,0.01615132858402701,1.1444816040029853,4,0.6035725383991823,3.0,1.810717615197547
IPA,SPI,0.25,37.5,0.7,0.01615132858402701,1.1444816040029853,6,0.4928149139448011,3.0,1.4784447418344033
IPA,SPI,0.25,37.5,0.7,0.01615132858402701,1.1444816040029853,8,0.4267902348400397,3.0,1.2803707045201191
IPA,SPI,0.25,37.5,0.7,0.01615132858402701,1.1444816040029853,10,0.3817327908941711,3.0,1.1451983726825135
IPA,SPI,0.25,37.5,0.7,0.01615132858402701,1.1444816040029853,12,0.3484727675202337,3.0,1.0454183025607011
