mr,eps,pe_psia,isp_amb_s,isp_vac_s,mode,cstar_m_s,t_chamber_k,chamber_mw,chamber_gamma,cf_cea,cf_amb,cf_mode,case,ox,fuel,pc_psia,pamb_psia,chemistry
2.0,2.1893183349512357,14.69982455376047,189.24371151619533,221.2839495378673,Pexit = 14.7038,1464.4709594127617,2384.9249109782336,21.544401881009094,1.2277747393910734,1.2672463261260027,1.267245369944066,Pexit = 14.7038,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.05,2.1925188316189437,14.699835608959829,190.23419754756532,222.48872267366787,Pexit = 14.7038,1472.1133952836833,2425.263411303102,21.71975723683371,1.2242851343836425,1.2672656217339824,1.2672647255914724,Pexit = 14.7038,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.0999999999999996,2.1957831422494016,14.699855801264002,191.17495085199786,223.63684876157302,Pexit = 14.7039,1479.3754436353854,2464.1114696465625,21.89116088463107,1.2206854713846818,1.2672808474364503,1.2672800609535744,Pexit = 14.7039,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.1499999999999995,2.199118830106799,14.699869718100041,192.06863197428657,224.73150692335545,Pexit = 14.7039,1486.2766517073533,2501.464426612111,22.05859452655537,1.2169781586924282,1.267293045061542,1.2672923341500175,Pexit = 14.7039,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.1999999999999993,2.202535143656038,14.699890451701084,192.91760414877135,225.77555758516326,Pexit = 14.7039,1492.8343085595989,2537.315435289831,22.222037258584677,1.2131678216460189,1.2673030422183174,1.2673024438796767,Pexit = 14.7039,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.249999999999999,2.2060438952515784,14.699905151161975,193.72402817840708,226.77164717540984,Pexit = 14.7039,1499.063292873237,2571.655882785096,22.381465710286832,1.2092616853558666,1.2673125012052455,1.2673119826574308,Pexit = 14.7039,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.299999999999999,2.2096589577343226,14.699922729360942,194.48981294550543,227.72215590382206,Pexit = 14.7039,1504.9762848123203,2604.475665503698,22.536854342042123,1.205269626380932,1.2673231476990834,1.2673227245641683,Pexit = 14.7039,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.3499999999999988,2.2133965492801866,14.699934559783806,195.21668538316138,228.62927065405336,Pexit = 14.7039,1510.5837066413715,2635.7642246375553,22.688176367727802,1.201205359192433,1.2673374883515112,1.267337129408307,Pexit = 14.7039,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.3999999999999986,2.2172750246341737,14.699954463209542,195.90614551876018,229.49494021074918,Pexit = 14.7039,1515.8938782525568,2665.5108029519606,22.835404331313608,1.1970857819033474,1.2673581643350655,1.2673579134412971,Pexit = 14.7039,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.4499999999999984,2.221315035911135,14.699967850077355,196.55955287474788,230.32096222475377,Pexit = 14.704,1520.9129432333464,2693.705756499123,22.978511886036994,1.1929317605712348,1.2673888467823753,1.2673886685584101,Pexit = 14.704,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.4999999999999982,2.225539386791258,14.699982745693786,197.17806658622982,231.10891636968256,Pexit = 14.704,1525.6446705762012,2720.3420797151557,23.117475502913333,1.1887685374018586,1.2674337309490555,1.2674336336272642,Pexit = 14.704,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.549999999999998,2.229974262767054,14.699990986771029,197.76270772975678,231.86024882875537,Pexit = 14.704,1530.090628920028,2745.4164122371726,23.25227719530857,1.1846246961733724,1.2674979995489755,1.26749794699338,Pexit = 14.704,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.599999999999998,2.234647063728351,14.699994604686761,198.3143372893225,232.57622299467786,Pexit = 14.704,1534.2504709644006,2768.930863905299,23.382907190060035,1.1805318980994788,1.2675872994790016,1.2675872665717227,Pexit = 14.704,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.6499999999999977,2.2395876075579912,14.699993717810626,198.8336847152778,233.25795785411242,Pexit = 14.704,1538.1215882382573,2790.894440768589,23.509366953124193,1.1765236084396695,1.2677082777295725,1.2677082399629545,Pexit = 14.704,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.6999999999999975,2.244826849982929,14.69999780841729,199.3213431006481,233.90641987200257,Pexit = 14.704,1541.699885942007,2811.324327727325,23.631672049153114,1.1726335655721938,1.2678678521393247,1.267867836785726,Pexit = 14.704,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.7499999999999973,2.2503962994832336,14.700002310564418,199.77781747998665,234.5224663077661,Pexit = 14.704,1544.9800148641912,2830.2468023767237,23.749854546219716,1.168894037386147,1.2680734661538509,1.268073475533357,Pexit = 14.704,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
2.799999999999997,2.256326328034746,14.700001566666653,200.203519595751,235.1068346422117,Pexit = 14.704,1547.95635248852,2847.6976520625694,23.863964672581815,1.1653340795473308,1.2683321927155808,1.2683321976587463,Pexit = 14.704,N2O_Methanol,N2O,CH3OH,150.0,14.7,equilibrium
