mr,eps,pe_psia,isp_amb_s,isp_vac_s,mode,cstar_m_s,t_chamber_k,chamber_mw,chamber_gamma,cf_cea,cf_amb,cf_mode,case,ox,fuel,pc_psia,pamb_psia,chemistry
3.0,2.410661676740493,14.699866661487759,200.40315025245323,231.65620000987698,Pexit = 14.7039,1513.5503529397279,2653.531985911034,22.550842882627933,1.2164985255750382,1.2984580190976138,1.2984573546823106,Pexit = 14.7039,N2O_Ethanol,N2O,C2H5OH,175.0,14.7,equilibrium
3.05,2.4145027915602473,14.699855235345948,201.04979564679044,232.4517492775117,Pexit = 14.7039,1518.3422959801565,2680.3931823239573,22.676291936961533,1.2131734204414168,1.2985366367113105,1.298535915229743,Pexit = 14.7039,N2O_Ethanol,N2O,C2H5OH,175.0,14.7,equilibrium
3.0999999999999996,2.4184170333976027,14.699843951544821,201.66949799798547,233.21727101100234,Pexit = 14.7038,1522.924061870362,2706.2432705425117,22.799111945077193,1.209833004755402,1.2986204841087983,1.298619706227824,Pexit = 14.7038,N2O_Ethanol,N2O,C2H5OH,175.0,14.7,equilibrium
3.1499999999999995,2.4224128804695355,14.699827893892499,202.26326354484084,233.95399432706574,Pexit = 14.7038,1527.3016504895295,2731.086035077833,22.919306739914887,1.2064838383752752,1.2987109324173665,1.298710074273773,Pexit = 14.7038,N2O_Ethanol,N2O,C2H5OH,175.0,14.7,equilibrium
3.1999999999999993,2.426499185324077,14.699815240607427,202.83199846735127,234.6630411857898,Pexit = 14.7038,1531.4804233944742,2754.9250723775795,23.03687959440663,1.203133055951694,1.2988091762203273,1.2988082547261701,Pexit = 14.7038,N2O_Ethanol,N2O,C2H5OH,175.0,14.7,equilibrium
3.249999999999999,2.4306858472335318,14.699795685757412,203.37655675492397,235.34547416743573,Pexit = 14.7038,1535.4646820020894,2777.7641197826183,23.15183464777172,1.1997886069076793,1.298917056773566,1.2989160374090072,Pexit = 14.7038,N2O_Ethanol,N2O,C2H5OH,175.0,14.7,equilibrium
3.299999999999999,2.4349835663544295,14.699776053531892,203.89769622519358,236.00225629261118,Pexit = 14.7038,1539.2580114881318,2799.6077377873303,23.264176513768767,1.1964598696284905,1.299036308765459,1.2990351910319147,Pexit = 14.7038,N2O_Ethanol,N2O,C2H5OH,175.0,14.7,equilibrium
3.3499999999999988,2.4394032489769617,14.699765108557443,204.39610521279303,236.63426950036455,Pexit = 14.7038,1542.8632705192688,2820.461182577242,23.373911160507944,1.1931568770314378,1.2991688168094098,1.2991676439663136,Pexit = 14.7038,N2O_Ethanol,N2O,C2H5OH,175.0,14.7,equilibrium
3.3999999999999986,2.4439569731791626,14.699745109703983,204.8724442749196,237.2423666785091,Pexit = 14.7037,1546.28248538863,2840.331027323954,23.48104631313867,1.18989062539907,1.2993171114616684,1.2993158381610408,Pexit = 14.7037,N2O_Ethanol,N2O,C2H5OH,175.0,14.7,equilibrium
3.4499999999999984,2.4486571594129907,14.699729835589848,205.3272701278487,237.82729234004734,Pexit = 14.7037,1549.5172265071872,2859.225457749042,23.585592106397296,1.1866727852760381,1.2994832794575544,1.2994819291519055,Pexit = 14.7037,N2O_Ethanol,N2O,C2H5OH,175.0,14.7,equilibrium
